python_commit,committer_date,refs,package_version,python_subject,native_commit,confidence,method,historical_selector,anchor
0e2cc2c437e9452ef4866cc18108eadc2a92030a,2019-05-04T02:45:32-04:00,,0.1.0dev1,initial commit,7c1ccf5135d25f4c4e60f10111aa089b53267065,inferred-compatible,descendant-release,,v0.1.0-dev3
6c972ed14815c2edbea185bf80056df4b0151be3,2019-05-04T03:53:02-04:00,,0.1.0dev1,cleanup,7c1ccf5135d25f4c4e60f10111aa089b53267065,inferred-compatible,descendant-release,,v0.1.0-dev3
d387abaee7017d1c0355e7fb056dcedd2b0eddef,2019-05-04T04:01:32-04:00,,0.1.0dev1,fix FileCache,7c1ccf5135d25f4c4e60f10111aa089b53267065,inferred-compatible,descendant-release,,v0.1.0-dev3
f2ae11de9bdaf5e360408df3df75c6772ac65cad,2019-05-04T08:09:19-04:00,,0.1.0.dev1,cleanup,7c1ccf5135d25f4c4e60f10111aa089b53267065,inferred-compatible,descendant-release,,v0.1.0-dev3
618eb4d1ff1c6cca07497ab6cf632d8bbf1e094a,2019-05-04T23:59:54-04:00,,0.1.0.dev1,force python wheel to be platform-specific,7c1ccf5135d25f4c4e60f10111aa089b53267065,inferred-compatible,descendant-release,,v0.1.0-dev3
6fede9472c60f89e22ba7f9d92b5d85ab9a47e16,2019-05-06T03:30:15-04:00,,0.1.0-dev2,cleanup,7c1ccf5135d25f4c4e60f10111aa089b53267065,inferred-compatible,descendant-release,,v0.1.0-dev3
27b74ce2399ffabd8de03bfa1fba37570f80e745,2019-05-06T05:52:53-04:00,v0.1.0-dev3,0.1.0.dev3,cleanup,7c1ccf5135d25f4c4e60f10111aa089b53267065,inferred,release,,v0.1.0-dev3
ed5ec35b0515be62b0f7300e7460c088b909c2b5,2019-05-06T21:48:09-04:00,,0.1.0.dev3,cleanup,ead17f68075bf2174d5840b1dc83019a49d51685,inferred-compatible,descendant-release,,v0.2.2
5d20b8b4d3b9e6e0f07cce23405f9919e7a74a5f,2019-05-07T03:22:17-04:00,,0.1.0.dev4,fix for mimic,ead17f68075bf2174d5840b1dc83019a49d51685,inferred-compatible,descendant-release,,v0.2.2
e80fb8b506663da59599237cfcb7aac4455497db,2019-05-17T05:46:57-04:00,,0.2.0,add linux support,ead17f68075bf2174d5840b1dc83019a49d51685,inferred-compatible,descendant-release,,v0.2.2
cb059daf8272626613b60115ca413554d5d9178d,2019-05-18T04:42:27-04:00,,0.2.0,fix linux support,ea731c2fbaa1471bd850863edcfa4effcf036f0d,correlated,semantic-pair,,matching cross-repo change
f14f6ed19658c6a5e5d44ec57f53ab1bfdfe1943,2019-05-18T04:43:07-04:00,,0.2.1,bump version,ead17f68075bf2174d5840b1dc83019a49d51685,inferred-compatible,descendant-release,,v0.2.2
